Fauna/Flora,Grupo,Familia,Especie (Simplificado),Nome Comum,Categoria de Ameaca,Sigla Categoria de Ameaca,Bioma,Principais Ameacas,Presenca em areas Protegidas,Plano de Acao Nacional para Conservacao (PAN),Ordenamento Pesqueiro ,Nivel de Protecao na Estrategia Nacional,Especie exclusiva do Brasil,Estados de Ocorrencia,ano_lista
Flora,Angiospermas,Velloziaceae,Vellozia leptopetala,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,Sim,Sim,Nao,3,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia lilacina,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,Sim,Sim,Nao,3,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia metzgerae,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,Sim,Sim,Nao,3,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia nuda,-,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Sim,Nao,2,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia patens,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,Sim,Sim,Nao,3,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia piresiana,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,Sim,Sim,Nao,3,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia pulchra,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia sessilis,-,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Sim,Nao,2,Sim,GO; TO,2014
Flora,Angiospermas,Velloziaceae,Vellozia streptophylla,-,Em Perigo (EN),EN,Cerrado,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Velloziaceae,Vellozia subalata,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,Sim,Sim,Nao,2,Sim,MG,2014
